german word	german sentence	english translation
der Kuchen, - (2)	Schokoladenkuchen schmeckt mir am besten.	I like chocolate cake the best.
kühl	Es ist kühl draußen. Zieh dir eine Jacke an.	It’s cool outside. Put on a jacket.
der Kühlschrank, ¨-e	Haben wir noch Milch? – Ja, im Kühlschrank.	Do we have any milk left? – Yes, in the fridge.
die Kultur, -en	Ich finde fremde Länder und Kulturen sehr interessant.	I find foreign countries and cultures very interesting.
die Kultur, -en(2)	Jana interessiert sich sehr für Kultur. Sie geht jede Woche ins Theater oder ins Museum.	Jana is very interested in culture. She goes to the theater or museum every week.
kümmern (sich), kümmert sich, hat sich gekümmert	Sonja kann nicht arbeiten. Sie muss sich um ihre Tochter kümmern.	Sonja can’t work. She has to take care of her daughter.
kümmern (sich), kümmert sich, hat sich gekümmert(2)	Ich habe jetzt keine Zeit. Ich muss mich um das Essen kümmern.	I don’t have time right now. I need to take care of the food.
der Kunde, -n / die Kundin, -nen	Einen Moment, bitte. Ich habe eine Kundin.	One moment, please. I have a female customer.
kündigen, kündigt, hat gekündigt	Meine Arbeit gefällt mir nicht mehr. Ich habe heute gekündigt.	I don’t like my job anymore. I resigned today.
die Kunst, ¨-e	Ich verstehe nichts von moderner Kunst.	I don’t understand modern art.
die Kunst, ¨-e(2)	Kunst war mein Lieblingsfach in der Schule.	Art was my favorite subject in school.
der Kurs, -e	Der Deutschkurs dauert zwei Monate.	The German course lasts two months.
kurz	Ricardo hat kurze Haare.	Ricardo has short hair.
kurz(2)	Kann ich Sie kurz sprechen?	Can I speak to you briefly?
