german word	german sentence	english translation
schenken	Was schenken wir Michael zum Geburtstag?	What should we give Michael for his birthday?
schenken(2)	Schenkt er dir oft Blumen?	Does he often give you flowers?
die Schere, -n	Die Schere schneidet nicht gut. Hast du eine andere?	The scissors don't cut well. Do you have another one?
schicken, schickt	Bitte schicken Sie mir eine E-Mail.	Please send me an email.
schicken, schickt(2)	Ich schicke dir den Brief nach Hause.	I'll send the letter to your home.
das Schiff, -e	Wir fahren mit dem Schiff von Basel nach Köln.	We are traveling by ship from Basel to Cologne.
das Schild, -er	Haben Sie das Schild nicht gesehen?	Didn't you see the sign?
schimpfen, schimpft	Warum schimpfst du denn so laut? – Ich ärgere mich über mein Auto.	Why are you scolding so loudly? – I'm annoyed with my car.
schimpfen, schimpft(2)	Alle schimpfen über/auf das Wetter.	Everyone is complaining about the weather.
der Schirm	Nimm den Schirm mit, es regnet.	Take the umbrella, it's raining.
schlafen, schläft	Ich schlafe meistens acht Stunden.	I usually sleep eight hours.
schlafen, schläft(2)	Haben Sie gut geschlafen?	Did you sleep well?
schlafen, schläft(3)	Gute Nacht! Schlaf gut und träum süß!	Good night! Sleep well and sweet dreams!
das Schlafzimmer, -	Hier ist das Schlafzimmer.	Here is the bedroom.
schlecht	Das Wetter ist schlecht. Wir haben schon seit einer Woche schlechtes Wetter.	The weather is bad. We've had bad weather for a week.
schlecht(2)	Mir ist schlecht!	I feel sick!
schlecht(3)	Mir geht es schlecht. Ich habe Fieber.	I'm feeling unwell. I have a fever.
schließen, schließt	Bitte schließen Sie die Tür.	Please close the door.
schließen, schließt(2)	Wir müssen uns beeilen, die Bank schließt um 18 Uhr.	We need to hurry, the bank closes at 6 PM.
schlimm	Kein Problem, das ist nicht so schlimm.	No problem, it's not that bad.
das Schloss, ¨-er	Am Wochenende besichtigen wir Schloss Neuschwanstein.	On the weekend, we will visit Neuschwanstein Castle.
das Schloss, ¨-er(2)	An unserer Tür ist das Schloss kaputt.	The lock on our door is broken.
der Schluss, ¨-e	Zum Schluss nochmals herzlichen Dank. Ich muss jetzt Schluss machen. Bis bald!	Finally, thank you very much again. I have to finish now. See you soon!
der Schlüssel, -	Ich gebe Ihnen noch den Zimmerschlüssel.	I'll give you the room key.
der Schlüssel, - (2)	Ich finde meinen Schlüssel nicht.	I can't find my key.
schmecken, schmeckt	Schmeckt dir die Suppe?	Do you like the soup?
schmecken, schmeckt(2)	Hat es Ihnen geschmeckt?	Did you like it?
schmecken, schmeckt(3)	Schmeckt's?	Is it tasty?
der Schmerz, -en	Haben Sie Schmerzen?	Do you have pain?
der Schmerz, -en(2)	Ich habe Bauchschmerzen.	I have a stomach ache.
schmutzig	Das Handtuch ist schmutzig.	The towel is dirty.
der Schnee (Sg.)	In den Bergen liegt viel Schnee.	There's a lot of snow in the mountains.
schneiden (sich), schneidet	Das Messer schneidet nicht gut.	The knife doesn't cut well.
schneiden (sich), schneidet(2)	Wer schneidet dir die Haare?	Who cuts your hair?
schneiden (sich), schneidet(3)	Aua! Ich habe mich geschnitten!	Ouch! I cut myself!
schneien, schneit	Morgen schneit es.	It will snow tomorrow.
schneien, schneit(2)	Es hat geschneit.	It snowed.
schnell	Warum fährst du so schnell?	Why are you driving so fast?
die Schokolade (Sg.)	Julia liebt Schokolade.	Julia loves chocolate.
schon	Ist das Essen schon fertig?	Is the food already ready?
schon(2)	Ich wohne schon seit fünf Jahren in Freiburg.	I have already lived in Freiburg for five years.
schön	Schöne Ferien!	Have a nice holiday!
schön(2)	Das Bild ist sehr schön.	The picture is very beautiful.
schön(3)	Schön, dass du kommst.	It's nice that you are coming.
der Schrank, ¨-e	Die Gläser stehen im Schrank.	The glasses are in the cupboard.
der Schrank, ¨-e(2)	Legst du bitte die Handtücher in den Schrank?	Could you please put the towels in the cupboard?
schrecklich	Ich finde ihren Rock schrecklich. Er sieht furchtbar aus!	I find her skirt terrible. It looks awful!
schrecklich(2)	Ich finde den Film schrecklich. Er macht mir Angst.	I find the film terrifying. It scares me.
schreiben, schreibt	Ich schreibe dir eine E-Mail.	I am writing you an email.
schreiben, schreibt(2)	Er hat mir einen Brief geschrieben.	He wrote me a letter.
schriftlich	Sie müssen sich schriftlich anmelden.	You need to register in writing.
schriftlich(2)	Die schriftliche Prüfung dauert 70 Minuten.	The written exam lasts 70 minutes.
der Schuh, -e	Zieh die Schuhe aus!	Take off your shoes!
der Schuh, -e(2)	Die neuen Schuhe sind mir zu eng. Sie drücken.	The new shoes are too tight for me. They pinch.
die Schule, -n	Meine Tochter geht schon in die Schule.	My daughter is already in school.
die Schule, -n(2)	Die Schule ist gleich hier um die Ecke.	The school is just around the corner.
der Schüler, - / die Schülerin, -nen	In meinem Kurs sind acht Schülerinnen und fünf Schüler.	In my class, there are eight female students and five male students.
schwach	Er ist krank und schwach.	He is ill and weak.
schwach(2)	Ich fühle mich sehr schwach.	I feel very weak.
schwach(3)	Die Tabletten sind zu schwach. Sie helfen nicht.	The tablets are too weak. They don't help.
schwanger	Lena ist schwanger. Sie bekommt im Juli ein Kind.	Lena is pregnant. She is having a baby in July.
das Schwein, -e	Ich esse kein Schweinefleisch.	I don't eat pork.
schwer	Wie schwer ist das Paket?	How heavy is the package?
schwer(2)	Das ist eine schwere Arbeit.	That is a difficult job.
schwierig	Die Prüfung war nicht schwierig.	The exam wasn't difficult.
das Schwimmbad, ¨-er	Kommst du mit ins Schwimmbad?	Are you coming to the swimming pool?
schwimmen, schwimmt	Ich schwimme täglich einen Kilometer.	I swim a kilometer every day.
schwimmen, schwimmt(2)	Er ist schon geschwommen.	He has already swum.
der See, -n	Morgen fahren wir mal an einen See schwimmen.	Tomorrow, we will go swimming in a lake.
der See, -n(2)	Komm, wir fahren an den Bodensee.	Come on, let's go to Lake Constance.
die See (Sg)	Die See ist heute ruhig.	The sea is calm today.
die See (Sg)(2)	Wir machen Urlaub an der Nordsee.	We are vacationing at the North Sea.
sehen, sieht	Ich kann dich nicht sehen.	I can't see you.
sehen, sieht(2)	Möchtest du einen Film sehen?	Would you like to see a movie?
sehen, sieht(3)	Ich habe Lisa lange nicht gesehen. Ist sie im Urlaub?	I haven't seen Lisa for a long time. Is she on vacation?
sehen, sieht(4)	Darf ich mal Ihren Ausweis sehen?	May I see your ID, please?
die Sehenswürdigkeit, -en	Welche Sehenswürdigkeiten gibt es in Frankfurt?	What attractions are there in Frankfurt?
sehr	Danke sehr!	Thank you very much!
sehr(2)	Das Wetter ist heute sehr schön.	The weather is very nice today.
die Seife, -n	Hier gibt es keine Seife.	There is no soap here.
sein, ist, war, ist gewesen	Das sind meine Kollegen.	These are my colleagues.
sein, ist, war, ist gewesen(2)	Ich bin Mechaniker.	I am a mechanic.
sein, ist, war, ist gewesen(3)	Die Cola ist kalt.	The cola is cold.
sein, ist, war, ist gewesen(4)	Mir ist kalt.	I am cold.
sein, ist, war, ist gewesen(5)	Ich bin dreiundzwanzig.	I am twenty-three.
sein, ist, war, ist gewesen(6)	Um halb elf ist Pause.	There is a break at half past ten.
sein, ist, war, ist gewesen(7)	Frau Berger ist im Urlaub.	Mrs. Berger is on vacation.
an sein / aus sein	Das Licht ist noch an/schon aus.	The light is still on/has already been turned off.
auf sein	Das Fenster ist noch auf.	The window is still open.
weg sein	Herr Meier ist schon weg.	Mr. Meier is already gone.
zu sein	Die Tür ist zu.	The door is closed.
seit	Ich wohne seit drei Jahren in Köln.	I have lived in Cologne for three years.
die Seite, -n	Öffnen Sie das Kursbuch auf Seite 20.	Open the textbook on page 20.
die Seite, -n(2)	Das ist die Bachstraße. Mein Haus ist auf der linken Seite.	This is Bach Street. My house is on the left side.
selbst	Du musst mir nicht helfen, ich mache das selbst.	You don't have to help me, I'll do it myself.
die Sendung, -en	Welche Sendungen schaust du gern an? – Ich mag Sportsendungen.	What shows do you like to watch? – I like sports shows.
die Sendung, -en(2)	Diese Sendung ist nicht für Jugendliche unter 18 Jahren.	This program is not suitable for people under 18 years old.
der Service (Sg.)	Ich bin mit dem Service in der Werkstatt sehr zufrieden.	I am very satisfied with the service at the workshop.
der Service (Sg.)(2)	Rufst du beim Pizza-Service an?	Will you call the pizza delivery service?
setzen (sich), setzt	Setz dich doch!	Sit down!
setzen (sich), setzt(2)	Er hat sich an den Tisch gesetzt.	He sat down at the table.
sicher	Dieses Auto ist besonders sicher.	This car is especially safe.
sicher(2)	Ich bin ganz sicher, dass er kommt.	I am quite sure that he is coming.
sicher(3)	Er ist sicher gleich da.	He will definitely be here soon.
singen, singt	Er singt gern.	He likes to sing.
singen, singt(2)	Er hat im Chor gesungen.	He sang in the choir.
die Situation, -en	Ich bin in einer schwierigen Situation. Ich weiß nicht, was ich tun soll.	I am in a difficult situation. I don’t know what to do.
die Situation, -en(2)	Lesen Sie die Anzeigen und die Aufgaben 11-15. Welche Anzeige passt zu welcher Situation?	Read the ads and tasks 11-15. Which ad matches which situation?
sitzen, sitzt	Wo möchten Sie sitzen? – Bitte ganz hinten.	Where would you like to sit? – Please, at the back.
sitzen, sitzt(2)	Ich habe lange gesessen.	I sat for a long time.
der Ski, -, -er	Gehen wir am Wochenende Ski fahren?	Shall we go skiing this weekend?
der Ski, -, -er(2)	Er kauft sich neue Ski.	He is buying new skis.
so	Sie müssen das so machen!	You have to do it like this!
so(2)	Fahren Sie bitte nicht so schnell!	Please don't drive so fast!
so(3)	Meine Frau ist so groß wie ich.	My wife is as tall as I am.
so(4)	So, das war‘s/wär‘s!	So, that's it!
das Sofa, -s	Das Sofa ist bequem.	The sofa is comfortable.
sofort	Bitte antworten Sie sofort.	Please respond immediately.
sofort(2)	Sie können sich ab sofort für den Kurs anmelden.	You can register for the course starting immediately.
sogar	Heute ist es sehr kalt. In den Bergen schneit es sogar.	Today is very cold. It’s even snowing in the mountains.
sogar(2)	Zu meiner Hochzeit kommen viele Gäste. Sogar meine Tante aus Kanada kommt.	Many guests are coming to my wedding. Even my aunt from Canada is coming.
sollen, soll	Wann soll ich kommen und was soll ich mitbringen?	When should I come and what should I bring?
sollen, soll(2)	Und, was hat der Arzt gesagt? – Ich soll drei Tage im Bett bleiben und viel Tee trinken.	And, what did the doctor say? – I should stay in bed for three days and drink lots of tea.
die Sonne, -n	Die Sonne scheint.	The sun is shining.
sonnig	Morgen ist das Wetter wieder warm und sonnig.	Tomorrow the weather will be warm and sunny again.
sonst	Haben Sie sonst noch einen Wunsch? – Nein danke, das ist alles.	Do you have any other requests? – No, thank you, that's all.
sonst(2)	Beeil dich, sonst kommen wir zu spät!	Hurry up, otherwise we'll be late!
spannend	Ich finde den Film sehr spannend.	I find the movie very exciting.
sparen, spart	Ein neues Auto ist sehr teuer. Ich muss sparen.	A new car is very expensive. I have to save money.
sparen, spart(2)	Er hat viel gespart.	He saved a lot.
der Spaß (Sg.)	Meine Arbeit macht mir Spaß.	My work is fun.
der Spaß (Sg.)(2)	Ich will nicht aufräumen. Das macht mir keinen Spaß.	I don't want to clean up. It's no fun for me.
der Spaß (Sg.)(3)	Viel Spaß!	Have fun!
spät	Es ist schon spät, ich muss gehen.	It is already late, I have to go.
später	Das können wir später machen.	We can do that later.
spazieren gehen, geht spazieren	Wir gehen sonntags immer spazieren.	We always go for a walk on Sundays.
spazieren gehen, geht spazieren(2)	Wir sind gestern spazieren gegangen.	We went for a walk yesterday.
der Spaziergang, ¨-e	Abends mache ich immer einen Spaziergang.	In the evening, I always go for a walk.
speichern, speichert	Sie müssen die Datei speichern.	You need to save the file.
die Speisekarte, -n	Entschuldigung, bringen Sie uns bitte die Speisekarte.	Excuse me, can you please bring us the menu?
das Spiel, -e	Welche Kartenspiele kennen Sie? Monopoly ist ein sehr bekanntes Spiel.	What card games do you know? Monopoly is a very well-known game.
spielen, spielt	Die Kinder spielen draußen.	The children are playing outside.
spielen, spielt(2)	Spielen Sie Karten?	Do you play cards?
spielen, spielt(3)	Jakob spielt Klavier.	Jakob plays the piano.
der Sport (Sg.)	Ich mache viel Sport.	I do a lot of sports.
sportlich	Tom ist sehr sportlich.	Tom is very athletic.
der Sportplatz, ¨-e	Das Fußballtraining ist um 17 Uhr auf dem Sportplatz.	The soccer practice is at 5 PM at the sports field.
die Sprache, -n	Welche Sprachen sprichst du? – Ich spreche Englisch und Spanisch.	Which languages do you speak? – I speak English and Spanish.
sprechen, spricht	Kann ich (mit) Herrn Klein sprechen?	Can I speak with Mr. Klein?
sprechen, spricht(2)	Mit wem sprichst du?	Who are you talking to?
sprechen, spricht(3)	Ich habe mit ihm gesprochen.	I spoke with him.
die Sprechstunde, -n	Frau Doktor Weiß hat von 9:00 bis 12:30 Uhr Sprechstunde.	Dr. Weiß has office hours from 9:00 AM to 12:30 PM.
die Stadt, ¨-e	Heidelberg ist eine alte Stadt.	Heidelberg is an old city.
der Stadtplan, ¨-e	Haben Sie einen Stadtplan von Salzburg?	Do you have a city map of Salzburg?
der Star, -s	Diese Sängerin ist ein Star in Deutschland.	This singer is a star in Germany.
stark	Ich habe starke Kopfschmerzen.	I have a strong headache.
stark(2)	Es regnet stark.	It is raining heavily.
stark(3)	Der Kaffee ist sehr stark.	The coffee is very strong.
stattfinden, findet statt	Das Spiel findet auch bei Regen statt.	The game will take place even if it rains.
stehen, steht	Der Bus steht schon an der Haltestelle.	The bus is already at the bus stop.
stehen, steht(2)	Ich bin Verkäuferin. In meinem Beruf muss ich viel stehen.	I am a saleswoman. In my job, I have to stand a lot.
die Stelle, -n	Ich habe eine neue Stelle. Ich arbeite jetzt bei Mercedes.	I have a new job. I now work at Mercedes.
die Stelle, -n(2)	Wir treffen uns hier an dieser Stelle.	We will meet here at this spot.
stellen, stellt	Stell die Milch bitte in den Kühlschrank!	Put the milk in the refrigerator, please!
sterben, stirbt	Herr Müller kommt heute nicht. Sein Vater ist gestern gestorben.	Mr. Müller is not coming today. His father died yesterday.
der Stiefel, -	Wie viel kosten die roten Stiefel?	How much do the red boots cost?
der Stift, -e	Kannst du mir bitte einen Stift geben? - Was brauchst du? Einen Farbstift oder einen Bleistift oder einen Kugelschreiber?	Can you please give me a pen? - What do you need? A colored pencil, a pencil, or a ballpoint pen?
das Stipendium, -en	Wenn ich ein gutes Zeugnis habe, bekomme ich ein Stipendium.	If I have a good report card, I will get a scholarship.
der Stock, ¨-e	Unsere Wohnung liegt im ersten Stock.	Our apartment is on the first floor.
das Stockwerk, -e	Das Gebäude hat zwanzig Stockwerke.	The building has twenty floors.
stören, stört	Störe ich?	Am I disturbing you?
stören, stört(2)	Mach die Musik leiser! Sie stört mich.	Turn down the music! It’s bothering me.
der Strand, ¨-e	Im Urlaub bin ich am liebsten am Strand.	On vacation, I prefer to be at the beach.
die Straße, -n	In welcher Straße wohnen Sie?	Which street do you live on?
die Straßenbahn, -en	Fahren wir mit der Straßenbahn oder mit der U-Bahn?	Shall we take the streetcar or the subway?
streiten (sich), streitet	Die Kinder streiten (sich) oft.	The children often argue.
streiten (sich), streitet(2)	Wir haben uns über das Wetter gestritten.	We argued about the weather.
streng	Der Lehrer von meiner Tochter ist sehr streng.	My daughter's teacher is very strict.
der Stress (Sg.)	Ich habe bei der Arbeit viel Stress.	I have a lot of stress at work.
stressig	Meine Arbeit ist stressig.	My work is stressful.
das Stück, -e	Möchten Sie noch ein Stück Kuchen?	Would you like another piece of cake?
das Stück, -e(2)	Im Theater spielen sie heute das Stück Romeo und Julia.	At the theater, they are playing the play Romeo and Juliet today.
der Student, -en / die Studentin, -nen	Ich bin Studentin.	I am a student.
studieren, studiert	Ich studiere in Mainz.	I study in Mainz.
das Studium (Sg.)	Das Studium dauert drei Jahre.	The studies take three years.
der Stuhl, ¨-e	Ist der Stuhl frei?	Is the chair free?
suchen, sucht	Suchst du etwas?	Are you looking for something?
suchen, sucht(2)	Ich suche meine Brille.	I am looking for my glasses.
super	Der Film ist super.	The movie is great.
super(2)	Er kann super tanzen.	He can dance great.
der Supermarkt, ¨-e	Ich kaufe oft im Supermarkt ein.	I often shop at the supermarket.
die Suppe, -n	Schmeckt dir die Suppe?	Do you like the soup?
surfen, surft	Ich möchte gern surfen lernen.	I would like to learn how to surf.
surfen, surft(2)	Surfst du oft im Internet?	Do you surf the Internet often?
süß	Ich finde die Torte zu süß.	I find the cake too sweet.
süß(2)	Ist das deine Tochter? Die ist ja süß!	Is that your daughter? She is so cute!
die Süßigkeiten	Welche Süßigkeiten isst du am liebsten?	What sweets do you like to eat the most?
sympathisch	Der neue Chef ist sehr sympathisch.	The new boss is very likable.

