german word	german sentence	english translation
der Fernseher(1)	Der Fernseher ist schon wieder kaputt.	The TV is broken again.
fertig(1)	Das Essen ist gleich fertig.	The food will be ready soon.
fertig(2)	Wenn ich mit der Arbeit fertig bin, gehe ich nach Hause.	When I am finished with work, I will go home.
fertig(3)	Bist du fertig?	Are you ready?
fertig(4)	Das war ein schlimmer Tag. Ich bin total fertig.	That was a terrible day. I am completely exhausted.
fertig(5)	Mein Kollege glaubt fest daran, dass er die neue Stelle bekommt.	My colleague firmly believes that he will get the new position.
fertig(6)	Als wir nach Hause kamen, haben die Kinder schon fest geschlafen.	When we got home, the children were already fast asleep.
fertig(7)	Für die nächste Familienfeier gibt es noch keinen festen Termin.	There is no fixed date yet for the next family celebration.
das Fett(1)	Man soll nicht so viel Fett essen.	One should not eat so much fat.
feucht(1)	Die Wäsche ist noch feucht.	The laundry is still damp.
feucht(2)	Es ist heute feucht draußen.	It is damp outside today.
das Feuer(1)	Der Schaden durch das Feuer war sehr groß.	The damage from the fire was very extensive.
das Feuer(2)	Haben Sie Feuer?	Do you have a light?
das Feuerzeug(1)	Ist das Feuerzeug neu?	Is the lighter new?
die Feuerwehr(1)	Schnell! Rufen Sie die Feuerwehr! Die Nummer ist: 112.	Quick! Call the fire department! The number is: 112.
das Fieber(1)	Plötzlich habe ich hohes Fieber bekommen.	I suddenly developed a high fever.
die Figur(1)	Lars hat eine gute Figur.	Lars has a good figure.
die Figur(2)	Bei diesem Spiel hat jeder Spieler vier Figuren.	In this game, each player has four pieces.
der Film(1)	Den Film musst du dir unbedingt ansehen.	You must definitely watch the movie.
finanzieren(1)	Ich weiß nicht, wie ich das Auto finanzieren soll.	I don’t know how I should finance the car.
finanziell(1)	Finanziell geht es meinem Neffen jetzt besser.	Financially, my nephew is doing better now.
das Fest(1)	Wenn ich 18 werde, feiern wir ein großes Fest.	When I turn 18, we will have a big party.
das Fest(2)	Frohes Fest!	Merry Christmas!
die Festplatte(1)	Mein Computer hat eine große Festplatte.	My computer has a large hard drive.
festhalten(1)	Halt dich gut fest.	Hold on tight.
festhalten(2)	Halt die Flasche gut fest.	Hold the bottle tightly.
festlegen(1)	Ich weiß noch nicht, ob ich das mache. Ich möchte mich noch nicht festlegen.	I don’t know yet if I will do that. I don’t want to commit yet.
festlegen(2)	Habt ihr den Hochzeitstermin schon festgelegt?	Have you already set the wedding date?
festnehmen(1)	Die Polizei hat einen Mann festgenommen.	The police have arrested a man.
festsetzen(1)	Die Schule hat den Termin für die Prüfung festgesetzt.	The school has set the date for the exam.
feststehen(1)	Der Termin steht seit Langem fest.	The date has been set for a long time.
feststellen(1)	Er hat festgestellt, dass der Absender des Briefes falsch war.	He realized that the sender of the letter was wrong.
feststellen(2)	Der Arzt hat mich untersucht, konnte aber nichts feststellen.	The doctor examined me but couldn’t find anything.
fett(1)	Die Wurst ist mir zu fett.	The sausage is too fatty for me.
fett(2)	Das ist aber eine fette Katze!	That’s quite a fat cat!
finden(1)	Meine Tante hat eine gute Arbeit gefunden.	My aunt found a good job.
finden(2)	Ich kann meinen Schlüssel nicht finden.	I can’t find my key.
finden(3)	Luigi finde ich sehr nett.	I think Luigi is very nice.
der Finger(1)	Alessandro hat sich in den Finger geschnitten.	Alessandro cut his finger.
die Firma(1)	Seit wann arbeiten Sie bei dieser Firma?	How long have you been working at this company?
flach(1)	Für die Arbeit brauche ich flache Schuhe.	I need flat shoes for work.
flach(2)	An dieser Stelle ist der See sehr flach.	At this point, the lake is very shallow.
die Fläche(1)	Unsere Wohnung hat eine Wohnfläche von 100 m².	Our apartment has a living area of 100 square meters.
die Flasche(1)	Wo kann man die leeren Flaschen zurückgeben?	Where can one return the empty bottles?
die Flasche(2)	Eine Flasche Bier bitte.	A bottle of beer, please.
der Fleck(1)	Du hast einen Fleck auf der Bluse.	You have a stain on your blouse.
das Fleisch(1)	Fleisch mag ich nicht.	I don’t like meat.
der Fleischhauer(1)	Dieser Fleischhauer macht sehr gute Wurst.	This butcher makes very good sausage.
fleißig(1)	Pamela ist wirklich fleißig. Sie macht immer ihre Hausaufgaben.	Pamela is really diligent. She always does her homework.
flexibel(1)	Meine Arbeitszeit ist flexibel.	My working hours are flexible.
fliegen(1)	Der Vogel ist auf einen Baum geflogen.	The bird flew into a tree.
fliegen(2)	Diese Maschine fliegt direkt nach New York.	This plane flies directly to New York.
fliegen(3)	Ich bin nach Berlin geflogen.	I flew to Berlin.
fliehen(1)	Der Einbrecher ist sofort geflohen.	The burglar fled immediately.
die Flucht(1)	Der Einbrecher war schon auf der Flucht.	The burglar was already on the run.
fließen(1)	Dieser Fluss fließt in die Nordsee.	This river flows into the North Sea.
fließend(1)	Mein Kollege spricht fließend Deutsch.	My colleague speaks fluent German.
fließend(2)	Zimmer mit fließendem Wasser.	Room with running water.
der Flohmarkt(1)	Diesen Hut habe ich am Flohmarkt gekauft.	I bought this hat at the flea market.
die Flöte(1)	Sie spielt sehr schön Flöte.	She plays the flute very beautifully.
der Flug(1)	Ich habe den Flug für Sie gebucht.	I have booked the flight for you.
der Flughafen(1)	Der Flughafen liegt 30 km außerhalb der Stadt.	The airport is 30 km outside the city.
das Flugzeug(1)	Das Flugzeug ist gerade gelandet.	The plane has just landed.
der Flur(1)	Wir warten draußen im Flur.	We are waiting outside in the hallway.
der Fluss(1)	Wie heißt dieser Fluss?	What is the name of this river?
die Flüssigkeit(1)	Dieses Medikament mit viel Flüssigkeit einnehmen.	Take this medicine with plenty of fluids.
folgen(1)	Es folgen die Nachrichten.	The news follows.
folgen(2)	Folgen Sie der Reiseleiterin.	Follow the tour guide.
die Folge(1)	Die Folgen des Unfalls waren schlimm.	The consequences of the accident were severe.
folgenden(1)	Mehr Informationen auf den folgenden Seiten.	More information on the following pages.
folgenden(2)	Das Geschäft hat folgende Angebote: …	The store has the following offers: …
fordern(1)	Die Arbeitnehmer fordern mehr Geld.	The employees are demanding more money.
die Forderung(1)	Alle Forderungen der Arbeitnehmer kann man in dieser E-Mail lesen.	All the demands of the employees can be read in this email.
fördern(1)	Die Stadt fördert viele Sportprojekte.	The city supports many sports projects.
die Förderung(1)	Für das Projekt bekommen wir eine Förderung von der Stadt.	We receive funding from the city for the project.
die Form(1)	Diese Schuhe haben eine schöne Form.	These shoes have a nice shape.
die Form(2)	Ich möchte für den Geburtstag einen Kuchen backen. Kannst du mir eine Backform leihen?	I want to bake a cake for the birthday. Can you lend me a baking pan?
das Formular(1)	Füllen Sie bitte dieses Formular aus.	Please fill out this form.
die Forschung(1)	Er arbeitet in der Forschung.	He works in research.
die Fortbildung(1)	Die Fortbildung, die ich machen will, ist sehr teuer.	The training I want to do is very expensive.
der Fortschritt(1)	Ich habe beim Deutschlernen große Fortschritte gemacht.	I have made great progress in learning German.
fortsetzen(1)	Wir setzen die Behandlung am nächsten Donnerstag um 11 Uhr fort.	We will continue the treatment next Thursday at 11 o’clock.
die Fortsetzung(1)	Fortsetzung folgt.	To be continued.
das Forum(1)	Ich melde mich heute bei diesem Forum an.	I am signing up for this forum today.
fotografieren(1)	Ich fotografiere gern.	I like taking photos.
das Foto(1)	Können Sie dieses Foto vergrößern?	Can you enlarge this photo?
der Fotoapparat(1)	Ich möchte mir einen Fotoapparat kaufen.	I want to buy a camera.
der Fotograf(1)	Die Fotografin hat sehr schöne Fotos gemacht.	The photographer took very nice photos.
die Fotografie(1)	Ich interessiere mich für Fotografie.	I am interested in photography.
fragen(1)	Darf ich Sie etwas fragen?	May I ask you something?
fragen(2)	Hat jemand nach mir gefragt?	Has anyone asked about me?
fragen(3)	Ich frage mich, ob das richtig war.	I wonder if that was correct.
die Frage(1)	Ich habe Ihre Frage leider nicht verstanden.	I’m afraid I didn’t understand your question.
die Frage(2)	Das kommt gar nicht infrage!	That’s out of the question!
die Frau(1)	In meinem Deutschkurs sind mehr Frauen als Männer.	There are more women than men in my German course.
die Frau(2)	Ist Ihre Frau berufstätig?	Is your wife employed?
die Frau(3)	Guten Tag, Frau Müller!	Good day, Mrs. Müller!
frech(1)	Du darfst in der Schule nicht so frech sein.	You must not be so cheeky at school.
frei(1)	Ist dieser Platz noch frei?	Is this seat still free?
frei(2)	Morgen haben wir frei.	Tomorrow we have a day off.
frei(3)	Eintritt frei.	Free admission.
frei(4)	Ich trinke nur alkoholfreies Bier.	I only drink non-alcoholic beer.
frei(5)	Dieses Medikament ist rezeptfrei.	This medication is available without a prescription.
frei(6)	Die Schüler können die Arbeitszeit frei wählen.	The students can choose their working hours freely.
im Freien(1)	Wir wollen heute im Freien übernachten.	We want to camp outside today.
die Freiheit(1)	Wir wollen die Freiheit haben, unsere Meinung sagen zu können.	We want the freedom to express our opinion.
die Freizeit(1)	In meiner Freizeit höre ich gern Musik.	In my free time, I like to listen to music.
freiwillig(1)	Manchmal bleibe ich freiwillig länger im Büro.	Sometimes I stay at the office longer voluntarily.
fremd(1)	Ich reise gern in fremde Länder.	I like traveling to foreign countries.
fremd(2)	Ich bin fremd hier.	I am a stranger here.
fressen(1)	Hat der Hund schon etwas zu fressen bekommen?	Has the dog been fed yet?
sich freuen(1)	Es freut mich, dass alles so gut geklappt hat.	I am glad that everything worked out so well.
sich freuen(2)	Ich habe mich über Ihr Geschenk sehr gefreut.	I was very pleased with your gift.
sich freuen(3)	Ich freue mich schon auf meinen nächsten Urlaub.	I am already looking forward to my next vacation.
die Freude(1)	Diese Arbeit macht mir viel Freude.	This work gives me a lot of joy.
der Freund(1)	Ich sehe meine Freunde nur am Wochenende.	I only see my friends on weekends.
freundlich(1)	Er hat uns sehr freundlich begrüßt.	He greeted us very kindly.
freundlich(2)	Der Mann ist sehr freundlich zu mir.	The man is very friendly to me.
freundlich(3)	Mit freundlichen Grüßen	Best regards
die Freundschaft(1)	Deine Freundschaft ist mir sehr wichtig.	Your friendship is very important to me.
der Friede(1)	Endlich ist hier Frieden!	Finally, there is peace here!
frieren(1)	Wenn Sie frieren, mache ich das Fenster wieder zu.	If you are cold, I will close the window again.
frieren(2)	Heute Nacht hat es gefroren.	It froze last night.
frisch(1)	Das Brot ist noch ganz frisch.	The bread is still quite fresh.
frisch(2)	Die Handtücher sind frisch gewaschen.	The towels are freshly washed.
frisch(3)	Ich muss mal an die frische Luft.	I need to get some fresh air.
der Friseur(1)	Du siehst toll aus! Wer ist dein Friseur?	You look great! Who is your hairdresser?
der Friseurin(1)	Meine Tochter will Friseurin werden.	My daughter wants to become a hairdresser.
die Frisur(1)	Du hast eine tolle Frisur! Warst du beim Friseur?	You have a great hairstyle! Did you go to the hairdresser?
die Frist(1)	Die Frist für die Anmeldung zum Deutschkurs ist abgelaufen.	The deadline for registering for the German course has passed.
froh(1)	Ich bin froh, dass alles so gut geklappt hat.	I am glad that everything worked out so well.
froh(2)	Frohes Fest!	Merry Christmas!
fröhlich(1)	Die Musik klingt fröhlich.	The music sounds cheerful.
fröhlich(2)	Sie ist ein fröhlicher Mensch.	She is a cheerful person.
die Frucht(1)	Welche Früchte kann man essen?	Which fruits can one eat?
die Frucht(2)	Früchte kaufe ich am liebsten auf dem Markt.	I prefer to buy fruit at the market.
früh(1)	Hier ist schon am frühen Morgen starker Verkehr.	There is heavy traffic here early in the morning.
früh(2)	Mein Vater arbeitet von früh bis spät.	My father works from early morning until late at night.
früh(3)	Ich bin heute sehr früh aufgestanden.	I got up very early today.
früh(4)	Wir sind eine halbe Stunde zu früh gekommen.	We arrived half an hour early.
früh(5)	Wecken Sie mich bitte morgen früh um 6 Uhr.	Please wake me up at 6 o’clock tomorrow morning.
früher(1)	Früher habe ich in Berlin gewohnt.	I used to live in Berlin.
früher(2)	Wir nehmen den früheren Zug.	We’ll take the earlier train.
frühstücken(1)	Haben Sie schon gefrühstückt?	Have you had breakfast yet?
das Frühstück(1)	Wir sitzen gerade beim Frühstück.	We are currently having breakfast.
das Frühstück(2)	Sollen wir Ihnen das Frühstück aufs Zimmer bringen?	Should we bring breakfast to your room?
fühlen(1)	Wie fühlen Sie sich? - Danke, ich fühle mich wohl.	How do you feel? - Thank you, I feel well.
fühlen(2)	Fühl mal, ob das Wasser nicht zu heiß ist.	Feel if the water is not too hot.
führen(1)	Der Lehrer führt seine Schüler durch das Museum.	The teacher guides his students through the museum.
führen(2)	Frau Meyer führt den Betrieb schon seit zehn Jahren.	Ms. Meyer has been running the company for ten years.
führen(3)	Nach 20 Minuten führte unsere Mannschaft 2 : 0.	After 20 minutes, our team was leading 2-0.
führen(4)	Die Straße führt direkt zum Bahnhof.	The road leads directly to the train station.
der Führerausweis(1)	Hast du einen Führerausweis?	Do you have a driver’s license?
der Führerschein(1)	Hast du einen Führerschein?	Do you have a driver’s license?
der Führerschein(2)	Ich habe vor einem halben Jahr den Führerschein gemacht.	I got my driver’s license six months ago.
die Führung(1)	Die nächste Führung beginnt um 15 Uhr.	The next tour starts at 3 PM.
die Führung(2)	Bayern München liegt in Führung.	Bayern Munich is in the lead.
das Fundbüro(1)	Sie haben Ihren Schirm verloren. Da fragen Sie am besten im Fundbüro.	You lost your umbrella. You should inquire at the lost and found office.
funktionieren(1)	Können Sie mir bitte mal zeigen, wie der Automat funktioniert?	Can you please show me how the machine works?
funktionieren(2)	Unsere Ehe funktioniert nicht mehr.	Our marriage is no longer working.
für(1)	Ist Post für mich da?	Is there mail for me?
für(2)	Ich habe die Schlüssel für meine Wohnung verloren.	I lost the keys to my apartment.
für(3)	Gibt es hier einen Sportverein für Jugendliche?	Is there a sports club for young people here?
für(4)	Diese alten Möbel haben wir für 100 Euro bekommen.	We got these old pieces of furniture for 100 euros.
für(5)	Für einen Anfänger spielt er schon sehr gut Klavier.	For a beginner, he plays the piano very well.
für(6)	Du kannst nicht einkaufen gehen? Ich kann es für dich machen.	You can’t go shopping? I can do it for you.
für(7)	Für mich ist das ein schwerer Fehler.	For me, this is a serious mistake.
für(8)	Wir haben die Wohnung für ein Jahr gemietet.	We rented the apartment for a year.
furchtbar(1)	Dennis hat furchtbare Schmerzen.	Dennis has terrible pain.
furchtbar(2)	Das war mir furchtbar unangenehm.	That was terribly embarrassing for me.
(sich) fürchten(1)	Sie fürchtet sich vor Schlangen.	She is afraid of snakes.
der Fuß(1)	Er hat sich den linken Fuß gebrochen.	He broke his left foot.
der Fuß(2)	Sind Sie zu Fuß gekommen?	Did you come on foot?
der Fußball(1)	Spielt ihr gerne Fußball?	Do you like playing soccer?
der Fußball(2)	Jonas wünscht sich zu Weihnachten einen neuen Fußball.	Jonas wishes for a new soccer ball for Christmas.
der Fußgänger(1)	Dieser Weg ist nur für Fußgänger.	This path is for pedestrians only.
die Fußgängerin(1)	Wir treffen uns um 15 Uhr in der Fußgängerzone.	We will meet at 3 PM in the pedestrian zone.
füttern(1)	Es ist im Zoo nicht erlaubt, die Tiere zu füttern.	It is not allowed to feed the animals at the zoo.

