german word	german sentence	english translation
der Ordner, -(1)	Für meine Übungen im Deutschkurs habe ich mir einen Ordner gekauft.	I bought a binder for my exercises in the German course.
die Ordnung(1)	Mach mal etwas Ordnung in deinem Zimmer!	Make some order in your room!
die Ordnung(2)	Bitte beachten Sie die Hausordnung.	Please observe the house rules.
die Ordnung(3)	Mit dem Motor ist etwas nicht in Ordnung.	There’s something wrong with the engine.
organisieren, organisiert, organisierte, hat organisiert(1)	Für den nächsten Sommerurlaub habe ich schon alles organisiert.	I’ve already organized everything for the next summer vacation.
organisieren, organisiert, organisierte, hat organisiert(2)	Die Organisation des Festes war sehr gut.	The organization of the party was very good.
organisieren, organisiert, organisierte, hat organisiert(3)	Sind Sie Mitglied in einer Organisation?	Are you a member of an organization?
das Original, -e(1)	Das Original ist für Sie. Wir bekommen die Kopie.	The original is for you. We’ll get the copy.
original(1)	Ich muss das originale Dokument abgeben.	I need to submit the original document.
der Ort, -e(1)	Vergessen Sie Ort und Datum nicht.	Don’t forget the place and date.
der Ozean, -e(1)	Dieses Schiff fährt über den Atlantischen Ozean.	This ship sails across the Atlantic Ocean.
