heute(2)	Ab heute bleibt unser Büro nachmittags geschlossen.	From today, our office will be closed in the afternoons.
heute(3)	Frau Müller kommt heute in acht Tagen zurück.	Mrs. Müller is coming back in eight days.
heute(4)	Heute kann man sich eine Welt ohne Internet nicht mehr vorstellen.	Today, one can no longer imagine a world without the Internet.
heutig(1)	Die heutigen Computer können viel mehr als noch vor ein paar Jahren.	Today's computers can do much more than a few years ago.
hier(1)	Hier wohne ich.	I live here.
hier(2)	Von hier hat man eine herrliche Aussicht.	From here, you have a wonderful view.
hier(3)	Hier sind die Schlüssel für meine Wohnung. Kannst Du meine Blumen gießen?	Here are the keys to my apartment. Can you water my plants?
hier(4)	Hier ist Pamela Linke. Bitte hinterlassen Sie eine Nachricht.	This is Pamela Linke. Please leave a message.
hierher(1)	Ich komme oft hierher. In diesem Café gibt es guten Kuchen.	I come here often. This café has good cake.
der Himmel(1)	Wir hatten im Urlaub so tolles Wetter. Immer Sonne und blauer Himmel.	We had such great weather on vacation. Always sunny and blue sky.
runterwerfen(1)	Kannst du mir bitte den Schlüssel runterwerfen? Ich habe meinen vergessen.	Can you please throw me the key? I forgot mine.
hinten(1)	Wo möchtest du sitzen? Hinten oder vorne?	Where would you like to sit? In the back or in the front?
hinten(2)	Bitte hinten aussteigen!	Please exit from the back!
hinter(1)	Hinter dem Haus haben wir einen Garten.	Behind the house, we have a garden.
hinter(2)	Fahren Sie Ihren Wagen bitte hinter das Haus.	Please drive your car behind the house.
hinter(3)	Auf den hinteren Plätzen kann man nicht sehr viel sehen.	You can’t see much from the back seats.
hinterlassen(1)	Möchten Sie eine Nachricht hinterlassen?	Would you like to leave a message?
hinterher(1)	Vor der Prüfung habe ich so viel gelernt. Hinterher habe ich vieles wieder vergessen.	I studied so much before the exam. Afterwards, I forgot a lot.
hinweisen(1)	Wir möchten Sie darauf hinweisen, dass das Rauchen am Bahnsteig nicht gestattet ist.	We would like to point out that smoking is not allowed on the platform.
der Hinweis(1)	Die Polizei hat viele Hinweise zum Unfall bekommen.	The police received many clues about the accident.
historisch(1)	Wir waren mit unserer Klasse im Historischen Museum.	We visited the Historical Museum with our class.
die Hitze(1)	Gestern war eine schreckliche Hitze!	Yesterday was terribly hot!
das Hobby(1)	Ich habe keine Zeit mehr für meine Hobbys.	I no longer have time for my hobbies.
hoch(1)	Der Berg ist fast 3000 m hoch.	The mountain is almost 3000 meters high.
hoch(2)	Das Hotel liegt hoch über dem See.	The hotel is situated high above the lake.
hoch(3)	Die Benzinpreise sind sehr hoch.	The gasoline prices are very high.
die Höhe(1)	Mein Tisch hat folgende Maße: Länge: 1,20 m, Breite: 0,60 m, Höhe: 0,80 m.	My table has the following dimensions: Length: 1.20 m, Width: 0.60 m, Height: 0.80 m.
die Höhe(2)	Wir fliegen jetzt in 6000 m Höhe.	We are now flying at an altitude of 6000 meters.
hochladen(1)	Kannst du bitte die Datei für die Hausaufgabe hochladen?	Can you please upload the file for the homework?
höchstens(1)	Ich habe wenig Zeit. Ich kann höchstens eine Viertelstunde bleiben.	I have little time. I can stay for at most a quarter of an hour.
die Hochzeit(1)	Claudia und Peter wollen ihre Hochzeit groß feiern.	Claudia and Peter want to celebrate their wedding big.
die Hochzeit(2)	Zu dieser Hochzeit kommen mehr als fünfzig Gäste.	More than fifty guests are coming to this wedding.
der Hof(1)	Die Kinder spielen am liebsten im Hof.	The children prefer to play in the yard.
der Bauernhof(1)	Meine Großeltern hatten einen Bauernhof.	My grandparents had a farm.
hoffen(1)	Ich hoffe, dass ihr zu meinem Geburtstag kommen könnt.	I hope that you can come to my birthday.
hoffen(2)	Wir alle hoffen auf besseres Wetter.	We all hope for better weather.
hoffentlich(1)	Hoffentlich hat unser Zug keine Verspätung.	Hopefully, our train is not delayed.
die Hoffnung(1)	Man darf die Hoffnung nicht verlieren.	One should not lose hope.
höflich(1)	Unser Nachbar ist sehr höflich. Er sagt immer als Erster Guten Tag.	Our neighbor is very polite. He always says hello first.
holen(1)	Soll ich uns was zu trinken holen?	Should I get us something to drink?
holen(2)	Warum haben Sie nicht sofort einen Arzt geholt?	Why didn’t you call a doctor immediately?
das Holz(1)	Möchten Sie ein Regal aus Holz oder aus Metall?	Would you like a shelf made of wood or metal?
der Honig(1)	Ich esse gern Brötchen mit Honig und Butter zum Frühstück.	I like to eat rolls with honey and butter for breakfast.
hören(1)	Ich kann nicht mehr so gut hören.	I can’t hear very well anymore.
hören(2)	Ich höre jeden Tag die Nachrichten.	I listen to the news every day.
hören(3)	Dieses Wort habe ich noch nie gehört.	I have never heard this word before.
hören(4)	Ich habe gehört, dass Herr Müller im Krankenhaus liegt.	I heard that Mr. Müller is in the hospital.
der Hörer(1)	Die Sendung hat viele Hörer und Hörerinnen.	The show has many listeners.
die Hose(1)	Können Sie die Hose etwas kürzer machen?	Can you make the pants a bit shorter?
das Hotel(1)	Im Urlaub sind wir in einem Hotel am Meer.	On vacation, we stayed at a hotel by the sea.
hübsch(1)	Wir haben eine hübsche Wohnung gefunden.	We found a nice apartment.
hübsch(2)	Dietmars neue Freundin ist sehr hübsch.	Dietmar’s new girlfriend is very pretty.
der Hügel(1)	Auf diesem Hügel machen wir eine Pause.	We will take a break on this hill.
der Humor(1)	Wir mögen Paul, weil er so viel Humor hat.	We like Paul because he has a great sense of humor.
der Humor(2)	Den Humor des Komikers verstehe ich nicht.	I don’t understand the comedian’s humor.
der Hunger(1)	Möchtest du Suppe? – Nein danke, ich habe keinen Hunger.	Would you like some soup? – No thanks, I’m not hungry.
hungrig(1)	Ich bin sehr hungrig.	I’m very hungry.
hupen(1)	Hier ist ein Krankenhaus. Hier darfst du nicht hupen.	This is a hospital. You must not honk here.
husten(1)	Der Junge hat die ganze Nacht gehustet.	The boy coughed all night.
der Husten(1)	Haben Sie ein Medikament gegen Husten?	Do you have a medicine for coughs?
der Hut(1)	Sie sollten im Sommer nicht ohne Hut in die Sonne gehen.	You shouldn’t go out in the sun without a hat in the summer.
die Hütte(1)	Wir übernachten in der Hütte auf dem Berg.	We are staying overnight in the hut on the mountain.

